,category,titular,traduccion
46,business,"budget airline ryanair has placed an order for 70 boeing 737-800 planes, in a deal valued at $4bn which should lead to 2,500 new ryanair jobs","['ryanair ha hecho un pedido para 70 aviones 737-800 boeing, en un acuerdo valorado en 4 mil millones de dólares que debería dar lugar a 2.500 nuevos puestos de trabajo ryanair']"
47,business,"parmalat, the italian dairy company which went bust after an accounting scandal, hopes to be back on the italian stock exchange in july","['Parmalat, la empresa lechera italiana que se quebró después de un escándalo contable, espera volver a la bolsa italiana en julio']"
48,business,"less than four years after the new mini was launched, german car maker bmw has announced £100m of new investment","['menos de cuatro años después del lanzamiento del nuevo mini, fabricante alemán de automóviles bmw ha anunciado £100 millones de nueva inversión']"
49,business,"a combination of bad weather, rising raw material costs and the sluggish european economy has hit sales at swiss food and drink giant nestle","['una combinación de mal tiempo, el aumento de los costes de las materias primas y la lenta economía europea ha afectado a las ventas de comida y bebida suiza gigante']"
50,business,"ferrari could be listed on the stock market as part of an overhaul of fiat carmaking operations, the financial times has reported","['ferrari podría cotizar en el mercado de valores como parte de una revisión de las operaciones de fabricación de automóviles fiat, el tiempo financiero ha informado']"
51,business,italian prime minister silvio berlusconi will unveil plans aimed at kickstarting the country sputtering economy on thursday night in rome,"['El primer ministro italiano, Silvio Berlusconi, desvelará los planes destinados a poner en marcha la economía del país sputtering el jueves por la noche en Roma']"
52,business,"revenues at media group reuters slipped 11% during 2004, mainly due to the weakness of the dollar, the group said","['los ingresos en los medios de comunicación reuters se deslizó 11% durante 2004, principalmente debido a la debilidad del dólar, el grupo dijo']"
53,business,south korea hyundai motor has announced that it plans to build a second plant in india to meet the country growing demand for cars,['sur de Corea hyundai motor ha anunciado que planea construir una segunda planta en la India para satisfacer la creciente demanda del país para los coches']
54,business,the south african government has put tax cuts and increased social spending at the centre of its latest budget,['el gobierno sudafricano ha puesto los recortes fiscales y el aumento del gasto social en el centro de su último presupuesto']
55,business,bmw has forecast sales growth of at least 10% in asia this year after registering record sales there in 2004,['bmw ha pronosticado un crecimiento de ventas de al menos 10% en Asia este año después de registrar ventas récord allí en 2004']
56,business,"the uk economy probably grew at a faster rate in the third quarter than the 0.4% reported, according to bank of england deputy governor rachel lomax","['la economía uk creció probablemente a un ritmo más rápido en el tercer trimestre que el 0,4% reportado, según el banco de Inglaterra vicegobernador rachel lomax']"
57,business,electrolux saw its shares rise 14% on tuesday after it said it would be shifting more of its manufacturing to low-cost countries,['El electrolux vio subir sus acciones un 14% el martes después de que dijera que estaría trasladando más de su fabricación a países de bajo costo.']
58,business,lawyers defending former worldcom chief bernie ebbers against a battery of fraud charges have called a company whistleblower as their first witness,['abogados defendiendo ex jefe de worldcom bernie ebbers contra una batería de cargos de fraude han llamado a un denunciante de la empresa como su primer testigo']
59,business,another three us insurance executives have pleaded guilty to fraud charges stemming from an ongoing investigation into industry malpractice,['otros tres ejecutivos de seguros nosotros se han declarado culpables de cargos de fraude derivados de una investigación en curso sobre la mala praxis de la industria']
60,business,"the uk jobless total rose for the second month in a row in december, official figures show","['el total de desempleados uk aumentó por segundo mes consecutivo en diciembre, las cifras oficiales muestran']"
61,business,"shares in multiplex group, which is building the new wembley stadium, fell as much as 19% after it said it would not make any money on the project","['acciones en el grupo multiplex, que está construyendo el nuevo estadio Wembley, cayó tanto como 19% después de que dijo que no haría ningún dinero en el proyecto']"
62,business,"us retail sales fell 0.3% in january, the biggest monthly decline since last august, driven down by a heavy fall in car sales","['las ventas al por menor cayeron 0,3% en enero, el mayor descenso mensual desde el pasado agosto, impulsado por una fuerte caída en las ventas de automóviles']"
63,business,german airline lufthansa may sue federal agencies for damages after the arrival of us president george w bush disrupted flights,['la aerolínea alemana Lufthansa puede demandar a las agencias federales por daños y perjuicios después de la llegada de nosotros presidente George w bush']
64,business,"european union finance ministers meet on thursday to discuss proposals, including a tax on jet fuel, to boost development aid for poorer nations","['Los ministros de Hacienda de la Unión Europea se reúnen el jueves para debatir propuestas, incluido un impuesto sobre los carburantes para aviones, para impulsar la ayuda al desarrollo en favor de las naciones más pobres']"
65,business,german business confidence fell in february knocking hopes of a speedy recovery in europe largest economy,"['La confianza de los negocios alemanes cayó en febrero, y las esperanzas de una rápida recuperación en la economía más grande de Europa']"
66,business,"billions of farmers' livelihoods are at risk from falling commodity prices and protectionism, the un food & agriculture organisation has warned","['miles de millones de medios de vida de los agricultores están en riesgo de la caída de los precios de los productos básicos y el proteccionismo, la organización un food & agriculture ha advertido']"
67,business,india has cleared a proposal allowing up to 100% foreign direct investment in its construction sector,['India ha aprobado una propuesta que permite hasta el 100% de inversión extranjera directa en su sector de la construcción']
68,business,"us aircraft firm boeing has unveiled its new long-distance 777 plane, as it tries to regain its position as the industry leading manufacturer","['la firma de aviones boeing ha presentado su nuevo avión de larga distancia 777, ya que trata de recuperar su posición como el fabricante líder de la industria']"
69,business,"circuit city stores, the second-largest electronics retailer in the us, has received a $3.25bn takeover offer","['las tiendas de circuito de la ciudad, el segundo minorista de electrónica más grande en el nosotros, ha recibido una oferta de adquisición de $3.25 mil millones']"
70,business,japanese brewers are increasingly making money from beer-flavoured drinks rather than beer itself,['Los cerveceros japoneses están ganando cada vez más dinero con bebidas aromatizadas con cerveza en lugar de con la propia cerveza.']
71,business,"south korea looks set to sustain its revival thanks to renewed private consumption, its central bank says","['el sur de Corea se ve dispuesto a sostener su renacimiento gracias a un consumo privado renovado, dice su banco central']"
72,business,"germany economy shrank 0.2% in the last three months of 2004, upsetting hopes of a sustained recovery","['La economía alemana se redujo un 0,2% en los últimos tres meses de 2004, lo que altera las esperanzas de una recuperación sostenida']"
73,business,turkey investment in iran mobile industry looks set to be scrapped after its biggest mobile firm saw its investment there slashed by mps,['la inversión del pavo en la industria móvil de Irán parece estar lista para ser desechada después de que su mayor empresa móvil vio su inversión allí recortada por mps']
74,business,"european union finance ministers are meeting on thursday in brussels, where they are to discuss a controversial jet fuel tax","['Los ministros de Hacienda de la Unión Europea se reunirán el jueves en Bruselas, donde debatirán un controvertido impuesto sobre los carburantes a reacción.']"
75,business,"despite a short-lived increase in palestinian jobs in 2003, the economy is performing well below its potential, said a world bank report","['a pesar de un aumento efímero de los puestos de trabajo palestinos en 2003, la economía está funcionando muy por debajo de su potencial, dijo un informe del banco mundial']"
76,business,"china lent russia $6bn to help the russian government renationalise the key yuganskneftegas unit of oil group yukos, it has been revealed","['China prestó a Rusia $6 mil millones para ayudar al gobierno ruso a renacionalizar la unidad clave de yuganskneftegas del grupo petrolero yukos, se ha revelado']"
77,business,fiat and general motors have until midnight on 1 february to settle a disagreement over a potential takeover,['fiat y motores generales tienen hasta la medianoche del 1 de febrero para resolver un desacuerdo sobre una posible adquisición']
78,business,"almost a quarter of a million us consumers complained of being targeted for identity theft in 2004, official figures suggest","['casi un cuarto de millón de consumidores nos quejamos de haber sido objeto de robo de identidad en 2004, cifras oficiales sugieren']"
79,business,"argentina and venezuela have extended a food-for-oil deal, which helped the former to overcome a severe energy crisis last year","['Argentina y Venezuela han extendido un acuerdo de alimentos por petróleo, que ayudó a los primeros a superar una grave crisis energética el año pasado']"
80,business,bmw is to recall all cars equipped with a faulty diesel fuel-injection pump supplied by parts maker robert bosch,['bmw es recordar todos los coches equipados con una bomba de inyección de combustible diesel defectuoso suministrado por el fabricante de piezas robert bosch']
81,business,shares in storage and delivery firm exel closed up 9% at a two-and-a-half year high on tuesday on speculation it is to receive an imminent takeover bid,['acciones en la empresa de almacenamiento y entrega exel cerrado 9% a un máximo de dos años y medio en martes sobre la especulación que es para recibir una oferta de adquisición inminente']
82,business,"russian oil firm yukos lied to a us court in an attempt to stop the russian government selling off its key production unit, the court has heard","['la empresa petrolera rusa Yukos mintió a un tribunal de EE.UU. en un intento de detener al gobierno ruso vendiendo su unidad de producción clave, la corte ha oído']"
83,business,mexican labourers living in the us sent a record $16.6bn home last year,['trabajadores mexicanos que viven en los EE.UU. enviaron un récord de $16.6 mil millones a casa el año pasado']
84,business,"the number of mortgages approved in the uk has risen for the first time since may last year, according to lending figures from the bank of england","['el número de hipotecas aprobadas en el Reino Unido ha aumentado por primera vez desde mayo del año pasado, según cifras de préstamos del banco de Inglaterra']"
85,business,"uk manufacturing grew at its slowest pace in one-and-a-half years in january, according to a survey","['La fabricación uk creció a su ritmo más lento en un año y medio en enero, según una encuesta']"
86,business,"former worldcom boss bernie ebbers, who is accused of overseeing an $11bn fraud, never made accounting decisions, a witness has told jurors","['ex jefe de worldcom Bernie Ebbers, que es acusado de supervisar un fraude de $11.000 millones, nunca tomó decisiones contables, un testigo ha dicho a los jurados']"
87,business,us banking giant citigroup has sold its travelers life & annuity insurance arm to metlife for $11.5bn,['nosotros el gigante bancario Citigroup ha vendido su brazo de seguro de vida y anualidad de viajeros a Metlife por $11.500 millones de dólares']
88,business,european leaders have openly blamed the us for the sharp rise in the value of the euro,['Los líderes europeos han culpado abiertamente a nosotros por el fuerte aumento del valor del euro']
89,business,the french government is to hand its struggling wine industry 70m euros in aid to help it battle falling sales and damaging overproduction,['el gobierno francés va a entregar su lucha de la industria del vino 70 millones de euros en ayuda para ayudarle a luchar contra la caída de las ventas y la sobreproducción perjudicial']
90,business,"soaring oil sales and a budget surplus mean russian debt is no longer a risky investment, one of the world leading credit rating agencies says","['El aumento de las ventas de petróleo y un superávit presupuestario significan que la deuda rusa ya no es una inversión arriesgada, dice una de las principales agencias de calificación crediticia del mundo']"
91,business,turkey biggest private mobile firm could bail out of a $3bn deal to build a network in iran after mps there slashed its stake in the project,['mayor empresa privada de telefonía móvil de pavo podría rescatar de un acuerdo de $3 mil millones para construir una red en Irán después de mps allí recortado su participación en el proyecto']
92,business,"argentina is set to close its $102.6bn debt restructuring offer for bondholders later on friday, with the government hopeful that most creditors will accept the deal","['Argentina cerrará su oferta de reestructuración de deuda de $102,6 mil millones para los tenedores de bonos más tarde el viernes, con la esperanza del gobierno de que la mayoría de los acreedores aceptarán el acuerdo']"
93,business,"the us economy has grown more than expected, expanding at an annual rate of 3.8% in the last quarter of 2004","['la economía nosotros ha crecido más de lo esperado, expandiéndose a una tasa anual de 3,8% en el último trimestre de 2004']"
94,business,profits at indian drugmaker dr reddy fell 93% as research costs rose and sales flagged,['Las ganancias en el productor indio de drogas Dr Reddy cayó 93% a medida que los costos de investigación aumentaron y las ventas marcaron']
95,business,british energy firm burren energy has been awarded two potentially lucrative oil exploration contracts in egypt,['La empresa británica de energía Burren Energy ha recibido dos contratos potencialmente lucrativos de exploración de petróleo en Egipto.']
96,business,the us dollar slide against the euro and yen has halted after us treasury secretary john snow said a strong dollar was in america interest,['la caída del dólar contra el euro y el yen se detuvo después de que nosotros secretario de tesorería John Snow dijo que un dólar fuerte estaba en interés americano']
97,business,"the international monetary fund is to cut its 2005 growth forecast for the german economy from 1.8% to 0.8%, the financial times deutschland reported","['el fondo monetario internacional va a recortar su previsión de crecimiento 2005 para la economía alemana del 1,8% al 0,8%, los tiempos financieros deutschland informó']"
98,business,us car firms general motors and ford have been forced to cut production in the face of falling car sales,['las empresas automovilísticas en general y Ford se han visto obligadas a cortar la producción frente a la caída de las ventas de automóviles']
99,business,former worldcom chief bernie ebbers has denied claims that he knew accountants were doctoring the books at the firm,['ex jefe de worldcom Bernie Ebbers ha negado las afirmaciones de que sabía que los contadores estaban medicando los libros en la firma']
100,business,australia is raising its benchmark interest rate to its highest level in four years despite signs of a slowdown in the country economy,['australia está elevando su tasa de interés de referencia a su nivel más alto en cuatro años a pesar de los signos de desaceleración de la economía del país']
101,business,a us defence and telecommunications company has agreed to pay $28.5m after admitting bribery in the west african state of benin,['una empresa de defensa y telecomunicaciones nos ha acordado pagar 28.5 millones de dólares después de admitir sobornos en el estado de Benin de África occidental']
102,business,"up to 2,500 jobs are to go at us insurance broker marsh & mclennan in a shake up following bigger-than-expected losses",['hasta 2.500 puestos de trabajo van a ir a nosotros corredor de seguros pantano & mclennan en una sacudida después de pérdidas mayores de lo esperado']
103,business,the us justice department is to try to overturn a court ruling that threw out its claim for $280bn in damages from tobacco firms,['el departamento de justicia de nosotros es tratar de anular una sentencia judicial que rechazó su reclamación de $ 280 mil millones en daños y perjuicios de las empresas tabacaleras']
104,business,british car maker aston martin has gone head-to-head with porsche 911 sports cars with the launch of its cheapest model yet,['británico fabricante de coches aston Martin ha ido cara a cara con coches deportivos porsche 911 con el lanzamiento de su modelo más barato aún']
105,business,"chancellor gordon brown will meet his golden economic rule with a margin to spare, according to his former chief economic adviser","['canciller Gordon Brown se encontrará con su regla económica de oro con un margen de reserva, según su ex asesor económico jefe']"
106,business,"the liberian economy started to grow in 2004, but sustained and deep reform efforts are needed to ensure long term growth, the international monetary fund has said","['la economía liberal comenzó a crecer en 2004, pero se necesitan esfuerzos de reforma sostenidos y profundos para garantizar el crecimiento a largo plazo, ha dicho el fondo monetario internacional']"
107,business,"us industrial production increased for the 21st month in a row in february, but at a slower pace than in january, official figures show","['la producción industrial aumentó durante el 21o mes consecutivo en febrero, pero a un ritmo más lento que en enero, las cifras oficiales muestran']"
108,business,german airline lufthansa has returned to profit in 2004 after posting huge losses in 2003,['La aerolínea alemana Lufthansa ha vuelto a obtener beneficios en 2004 después de haber registrado enormes pérdidas en 2003']
109,business,"growth in japan evaporated in the three months to september, sparking renewed concern about an economy not long out of a decade-long trough","['El crecimiento del Japón se evaporó en los tres meses hasta septiembre, lo que provocó una renovada preocupación por una economía no mucho tiempo fuera de un valle de una década']"
110,business,anglo-dutch consumer goods giant unilever is to merge its two management boards after reporting unsatisfactory earnings for 2004,['Anglo-dutch unilever gigante de bienes de consumo va a fusionar sus dos consejos de administración después de informar de ganancias insatisfactorias para 2004']
111,business,strong growth in subscriptions to mobile phone network orange has helped boost profits at owner france telecom,['fuerte crecimiento en las suscripciones a la red de telefonía móvil naranja ha ayudado a aumentar los beneficios en el propietario france telecom']
112,business,the european commission has written to the mobile phone operators vodafone and t-mobile to challenge the high rates they charge for international roaming,['la comisión europea escribió a los operadores de telefonía móvil vodafone y t-mobile para desafiar las altas tarifas que cobran para la itinerancia internacional']
113,business,the former chief financial officer at us telecoms firm worldcom has admitted before a new york court that he used to lie to fellow board members,['el ex jefe financiero en nosotros telecomunicaciones firma worldcom ha admitido ante un tribunal de Nueva York que solía mentir a otros miembros de la junta directiva']
114,business,"glaxosmithkline saw its profits fall 9% last year to £6.2bn , but europe biggest drugmaker says a recovery during 2005 is on the way","['glaxosmithkline vio sus ganancias caer 9% el año pasado a £6,2 mil millones, pero el mayor fabricante de drogas de Europa dice que una recuperación durante 2005 está en camino']"
115,business,"shares of sumitomo mitsui financial , and daiwa securities jumped amid speculation that two of japan biggest financial companies will merge","['acciones de sumitomo mitsui financiero, y daiwa valores saltó en medio de la especulación de que dos de las compañías financieras más grandes de Japón se fusionarán']"
116,business,a slump in profitability at luxury car maker mercedes has prompted a big drop in profits at parent daimlerchrysler,['una caída en la rentabilidad de los mercedes fabricante de automóviles de lujo ha provocado una gran caída en los beneficios en los padres daimlerchrysler']
117,business,telecoms equipment supplier ericsson has posted a rise in fourth quarter profits thanks to clients like deutsche telekom upgrade their networks,['proveedor de equipos de telecomunicaciones Ericsson ha registrado un aumento en los beneficios del cuarto trimestre gracias a clientes como deutsche telekom actualizar sus redes']
118,business,the bank of england has left interest rates on hold at 4.75% for a sixth month in a row,['el banco de Inglaterra ha dejado tipos de interés en suspenso al 4.75% para un sexto mes consecutivo']
119,business,the government of nigeria is hoping to triple cocoa production over the next three years with the launch of an ambitious development programme,['el gobierno de nigeria espera triplicar la producción de cacao en los próximos tres años con el lanzamiento de un ambicioso programa de desarrollo']
120,business,"us interest rates are to rise for the fourth time in five months, in a widely anticipated move","['las tasas de interés van a subir por cuarta vez en cinco meses, en un movimiento muy esperado']"
121,business,five bank of america subsidiaries have agreed to pay a total of $515m to settle an investigation into fraudulent trading share practices,['cinco bancos de filiales de América han acordado pagar un total de 515 millones de dólares para liquidar una investigación sobre prácticas fraudulentas de acciones comerciales']
122,business,a strike on the buenos aires underground has caused traffic chaos and large queues at bus stops in the argentine capital,['un ataque a los buenos aires bajo tierra ha causado caos de tráfico y grandes colas en las paradas de autobús en la capital argentina']
123,business,japanese communications firm softbank has widened losses after heavy spending on a new cut-rate phone service,['empresa japonesa de comunicaciones softbank ha ampliado las pérdidas después de un gasto pesado en un nuevo servicio telefónico de tasa de corte']
124,business,australian mining firm wmc resources has seen a fivefold rise in profits while continuing to be the target of a hostile takeover bid,"['australian minera wmc recursos ha visto un aumento de cinco veces en los beneficios, mientras que sigue siendo el blanco de una oferta de adquisición hostil']"
125,business,"barclays, the uk third-biggest bank, has seen annual pre-tax profits climb to record levels boosted by a sharp rise in business at its investment arm","['barclays, el tercer banco más grande del Reino Unido, ha visto aumentar anualmente los beneficios antes de impuestos a niveles récord impulsados por un fuerte aumento de los negocios en su brazo de inversión']"
126,business,the majority owner of embattled russian oil firm yukos has sued the russian government for $28.3bn,['el dueño mayoritario de la asediada empresa petrolera rusa yukos ha demandado al gobierno ruso por $28.3bn']
127,business,australian airline qantas has posted a record fiscal first-half profit thanks to cost-cutting measures,['australian airline qantas ha publicado un beneficio fiscal récord de la primera mitad gracias a las medidas de reducción de costes']
128,business,"iraq is to invite bids for two telephone licences, saying it wants to significantly boost nationwide coverage over the next decade","['Irak va a invitar a licitación para dos licencias telefónicas, diciendo que quiere aumentar significativamente la cobertura nacional durante la próxima década']"
129,business,india defence minister has opened the country aero india 2005 air show with an invitation for global aerospace firms to outsource jobs to the nation,['India Ministro de Defensa ha abierto el país aeroindia 2005 demostración aérea con una invitación para las empresas aeroespaciales globales a subcontratar puestos de trabajo a la nación']
130,business,"the merger of russian gas giant gazprom and oil firm rosneft is to go ahead, but will not include yugansk, which was controversially bought last year","['la fusión del gigante gas ruso gazprom y la empresa petrolera Rosneft va a seguir adelante, pero no incluirá Yugansk, que fue comprado polémicamente el año pasado']"
